filename,face_detected
cropped_midE_f_647_29_23.png,False
cropped_midE_f_641_29_1.png,False
cropped_midE_f_644_29_17.png,False
cropped_midE_f_640_29_1.png,False
cropped_midE_f_649_29_14.png,False
cropped_midE_f_649_29_28.png,False
cropped_midE_f_641_29_24.png,False
cropped_midE_f_650_29_17.png,False
cropped_midE_f_641_29_30.png,False
cropped_midE_f_641_29_18.png,False
cropped_midE_f_639_29_9.png,False
cropped_midE_f_642_29_10.png,False
cropped_midE_f_642_29_11.png,False
cropped_midE_f_639_29_8.png,False
cropped_midE_f_641_29_19.png,False
cropped_midE_f_650_29_16.png,False
cropped_midE_f_641_29_31.png,False
cropped_midE_f_641_29_25.png,False
cropped_midE_f_649_29_29.png,False
cropped_midE_f_649_29_15.png,False
cropped_midE_f_640_29_0.png,False
cropped_midE_f_641_29_0.png,False
cropped_midE_f_644_29_16.png,False
cropped_midE_f_647_29_22.png,False
cropped_midE_f_647_29_20.png,False
cropped_midE_f_644_29_8.png,False
cropped_midE_f_645_29_8.png,False
cropped_midE_f_644_29_28.png,True
cropped_midE_f_640_29_2.png,False
cropped_midE_f_644_29_14.png,False
cropped_midE_f_641_29_2.png,False
cropped_midE_f_649_29_17.png,False
cropped_midE_f_650_29_14.png,False
cropped_midE_f_641_29_27.png,False
cropped_midE_f_650_29_28.png,False
cropped_midE_f_642_29_13.png,False
cropped_midE_f_642_29_12.png,False
cropped_midE_f_650_29_29.png,False
cropped_midE_f_641_29_26.png,False
cropped_midE_f_650_29_15.png,False
cropped_midE_f_649_29_16.png,False
cropped_midE_f_644_29_15.png,False
cropped_midE_f_641_29_3.png,False
cropped_midE_f_640_29_3.png,False
cropped_midE_f_644_29_29.png,False
cropped_midE_f_645_29_9.png,True
cropped_midE_f_644_29_9.png,False
cropped_midE_f_647_29_21.png,False
cropped_midE_f_647_29_31.png,False
cropped_midE_f_647_29_25.png,False
cropped_midE_f_647_29_19.png,False
cropped_midE_f_640_29_7.png,False
cropped_midE_f_641_29_7.png,False
cropped_midE_f_644_29_11.png,False
cropped_midE_f_649_29_12.png,False
cropped_midE_f_650_29_11.png,False
cropped_midE_f_641_29_22.png,False
cropped_midE_f_642_29_16.png,False
cropped_midE_f_642_29_17.png,False
cropped_midE_f_641_29_23.png,False
cropped_midE_f_650_29_10.png,False
cropped_midE_f_649_29_13.png,False
cropped_midE_f_641_29_6.png,False
cropped_midE_f_644_29_10.png,False
cropped_midE_f_640_29_6.png,False
cropped_midE_f_647_29_18.png,False
cropped_midE_f_647_29_24.png,False
cropped_midE_f_647_29_30.png,False
cropped_midE_f_647_29_26.png,True
cropped_midE_f_644_29_12.png,False
cropped_midE_f_641_29_4.png,False
cropped_midE_f_640_29_4.png,True
cropped_midE_f_649_29_11.png,False
cropped_midE_f_641_29_21.png,False
cropped_midE_f_650_29_12.png,False
cropped_midE_f_642_29_29.png,False
cropped_midE_f_653_29_8.png,True
cropped_midE_f_642_29_15.png,False
cropped_midE_f_652_29_8.png,False
cropped_midE_f_652_29_9.png,False
cropped_midE_f_653_29_9.png,False
cropped_midE_f_642_29_14.png,False
cropped_midE_f_642_29_28.png,False
cropped_midE_f_650_29_13.png,False
cropped_midE_f_641_29_20.png,False
cropped_midE_f_649_29_10.png,False
cropped_midE_f_640_29_5.png,False
cropped_midE_f_644_29_13.png,False
cropped_midE_f_641_29_5.png,False
cropped_midE_f_647_29_27.png,False
cropped_midE_f_647_29_7.png,False
cropped_midE_f_646_29_7.png,False
cropped_midE_f_640_29_18.png,False
cropped_midE_f_639_29_10.png,False
cropped_midE_f_640_29_24.png,False
cropped_midE_f_651_29_17.png,False
cropped_midE_f_640_29_30.png,False
cropped_midE_f_643_29_10.png,False
cropped_midE_f_652_29_23.png,False
cropped_midE_f_646_29_23.png,False
cropped_midE_f_651_29_1.png,False
cropped_midE_f_645_29_17.png,False
cropped_midE_f_650_29_1.png,False
cropped_midE_f_648_29_28.png,False
cropped_midE_f_648_29_14.png,False
cropped_midE_f_648_29_15.png,False
cropped_midE_f_648_29_29.png,False
cropped_midE_f_650_29_0.png,False
cropped_midE_f_651_29_0.png,True
cropped_midE_f_645_29_16.png,False
cropped_midE_f_646_29_22.png,False
cropped_midE_f_652_29_22.png,False
cropped_midE_f_643_29_11.png,False
cropped_midE_f_651_29_16.png,False
cropped_midE_f_640_29_31.png,False
cropped_midE_f_640_29_25.png,False
cropped_midE_f_639_29_11.png,False
cropped_midE_f_640_29_19.png,False
cropped_midE_f_646_29_6.png,False
cropped_midE_f_647_29_6.png,False
cropped_midE_f_646_29_4.png,False
cropped_midE_f_647_29_4.png,False
cropped_midE_f_651_29_28.png,False
cropped_midE_f_639_29_13.png,True
cropped_midE_f_651_29_14.png,False
cropped_midE_f_640_29_27.png,False
cropped_midE_f_652_29_20.png,False
cropped_midE_f_643_29_13.png,False
cropped_midE_f_646_29_20.png,False
cropped_midE_f_650_29_2.png,False
